referenced_tweets/0/type,referenced_tweets/0/id,text,in_reply_to_user_id,context_annotations/0/domain/id,context_annotations/0/domain/name,context_annotations/0/domain/description,context_annotations/0/entity/id,context_annotations/0/entity/name,reply_settings,possibly_sensitive,entities/mentions/0/start,entities/mentions/0/end,entities/mentions/0/username,geo/place_id,conversation_id,author_id,id,lang,source,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,created_at,entities/urls/0/start,entities/urls/0/end,entities/urls/0/url,entities/urls/0/expanded_url,entities/urls/0/display_url,entities/annotations/0/start,entities/annotations/0/end,entities/annotations/0/probability,entities/annotations/0/type,entities/annotations/0/normalized_text,entities/hashtags/0/start,entities/hashtags/0/end,entities/hashtags/0/tag,entities/hashtags/1/start,entities/hashtags/1/end,entities/hashtags/1/tag,entities/hashtags/2/start,entities/hashtags/2/end,entities/hashtags/2/tag,attachments/media_keys/0,entities/mentions/1/start,entities/mentions/1/end,entities/mentions/1/username,entities/mentions/2/start,entities/mentions/2/end,entities/mentions/2/username,entities/annotations/1/start,entities/annotations/1/end,entities/annotations/1/probability,entities/annotations/1/type,entities/annotations/1/normalized_text,context_annotations/1/domain/id,context_annotations/1/domain/name,context_annotations/1/domain/description,context_annotations/1/entity/id,context_annotations/1/entity/name,context_annotations/1/entity/description,context_annotations/2/domain/id,context_annotations/2/domain/name,context_annotations/2/domain/description,context_annotations/2/entity/id,context_annotations/2/entity/name,context_annotations/2/entity/description
replied_to,"1,38792140939826E+018","@taniapsuv De verdad que éste tipo de noticias ya no ""asombran a nadie"", muchos funcionarios ya no tienen ni verguenza, ni moral ni principios. Tenemos un país enfermo tan grave como el COVID 19",173862310,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,everyone,False,False,10,taniapsuv,0058b0cb7e695890,"1,38792140939826E+018",408643988,"1,38809465861464E+018",es,Twitter for Android,0,False,2,False,2021-04-30T11:35:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#VzlaQuieroMiVacunaAntiCovid Los venezolanos continúan enfermando y muriendo por COVID-19 y Maduro retrasa la vacunación echando cuentos. Exigimos nuestro derecho a la salud. Vacunación Ya. #TodosCiudadanos #Guárico https://t.co/JLUwPd9LBD,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,everyone,False,,,,00cfdfc429c27ec3,"1,38496878026727E+018","8,78759777920324E+017","1,38496878026727E+018",es,Twitter for iPhone,17,False,8,False,2021-04-21T20:34:23+00:00,216,239,https://t.co/JLUwPd9LBD,https://twitter.com/Frentedecodegu1/status/1384968780267274240/photo/1,pic.twitter.com/JLUwPd9LBD,92,97,0.9786,Person,Maduro,0,28,VzlaQuieroMiVacunaAntiCovid,190,206,TodosCiudadanos,207,215,Guárico,"3,13849687709433E+019",,,,,,,,,,,,,,,,,,,,,,,
replied_to,"1,38071398375012E+018",@cleverlaraad @adbernabe @MAELECAD_VE Payaso tu pensando en elecciones y hay venezolanos muriendo por covid-19 se ve que a ustedes no les interesa el pueblo son los verdaderos arrastrados al regimen,1346835210,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,everyone,False,False,13,cleverlaraad,012af435641420c7,"1,38071398375012E+018","7,40992422000353E+017","1,381020973022E+018",es,Twitter for Android,0,False,0,False,2021-04-10T23:07:12+00:00,,,,,,,,,,,,,,,,,,,,,14,24,adbernabe,25,37,MAELECAD_VE,,,,,,,,,,,,,,,,,
,,"Es imprescindible que se empiece un plan de vacunación contra el Covid-19 para todos los venezolanos por igual.  No podemos permitir que sigan muriendo nuestros familiares. 
#VzlaExigeVacunas https://t.co/Z35CcXQRWS",,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,everyone,False,,,,0115394f017772df,"1,37979965825234E+018","1,012350880644E+018","1,37979965825234E+018",es,Twitter for Android,1,False,4,True,2021-04-07T14:14:08+00:00,192,215,https://t.co/Z35CcXQRWS,https://twitter.com/VctorBaptista2/status/1379799658252341248/photo/1,pic.twitter.com/Z35CcXQRWS,,,,,,174,191,VzlaExigeVacunas,,,,,,,"3,13797996533744E+019",,,,,,,,,,,,,,,,,,,,,,,
,,"Es imprescindible que se empiece un plan de vacunación contra el Covid-19 para todos los venezolanos por igual.  No podemos permitir sigan muriendo nuestros familiares. 
#VzlaExigeVacunas https://t.co/nzSfwP7STl",,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,everyone,False,,,,0115394f017772df,"1,3797942316324E+018","1,19322330774468E+018","1,3797942316324E+018",es,Twitter for Android,3,False,4,True,2021-04-07T13:52:34+00:00,188,211,https://t.co/nzSfwP7STl,https://twitter.com/Untsucrearagua2/status/1379794231632400391/photo/1,pic.twitter.com/nzSfwP7STl,,,,,,170,187,VzlaExigeVacunas,,,,,,,"3,13797942217507E+019",,,,,,,,,,,,,,,,,,,,,,,
quoted,"1,37955085234466E+018","#6Abr Todos los países avanzan con su plan de vacunación masiva, mientras el régimen pretende seguir con esquemas ya fracasados, con gente enfermando y muriendo por la COVID-19. #BastaDeCuentosVacunqciónYa https://t.co/EeAynt7G6a",,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,everyone,False,,,,00cfdfc429c27ec3,"1,37957127728392E+018",3166992916,"1,37957127728392E+018",es,Twitter for iPhone,14,False,12,True,2021-04-06T23:06:38+00:00,206,229,https://t.co/EeAynt7G6a,https://twitter.com/AlbertoRodNews/status/1379550852344655883,twitter.com/AlbertoRodNews…,,,,,,0,5,6Abr,178,205,BastaDeCuentosVacunqciónYa,,,,,,,,,,,,,,,,,,,,,,,,,,,
quoted,"1,37916864655199E+018","Los políticos de oposición de este País se creen que tienen doble cerebro y son más inteligentes. Los Militares que están muriendo por Covid-19 y a manos de las FARC, eso está bien que pase. Son ellos mismos los q deben darse cuenta de la intensión del Dictador. Punto. https://t.co/TGD6PXuDpX",,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,everyone,False,,,,00914f80743a0863,"1,37920049174224E+018",2241479120,"1,37920049174224E+018",es,Twitter for Android,0,False,0,False,2021-04-05T22:33:16+00:00,270,293,https://t.co/TGD6PXuDpX,https://twitter.com/EAristeguieta/status/1379168646551986189,twitter.com/EAristeguieta/…,135,139,0.3578,Person,Covid,,,,,,,,,,,,,,,,,161,164,0.9875,Organization,FARC,10,Person,Named people in the world like Nelson Mandela,"8,39575776999584E+017",Nicolás Maduro,President of Venezuela Nicolás Maduro,35,Politician,"Politicians in the world, like Joe Biden","8,39575776999584E+017",Nicolás Maduro,President of Venezuela Nicolás Maduro
,,Todos unidos en oracion por nuestro enfermo de covid-19 o otra enfernedad https://t.co/wr0a7cZJPV,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,everyone,False,,,,012b6b2c110f0c21,"1,37769413763446E+018","1,37291073578589E+018","1,37769413763446E+018",es,Twitter for Android,1,False,1,False,2021-04-01T18:47:33+00:00,74,97,https://t.co/wr0a7cZJPV,https://twitter.com/EnComunas/status/1377694137634463744/photo/1,pic.twitter.com/wr0a7cZJPV,,,,,,,,,,,,,,,"3,13776941286041E+019",,,,,,,,,,,,,,,,,,,,,,,
,,Todos unidos en oracion por todos aquellos enfermo por covid-19 o por otra enfermedad https://t.co/w0xL5Gso0y,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,everyone,False,,,,012b6b2c110f0c21,"1,37769328352316E+018","1,37291073578589E+018","1,37769328352316E+018",es,Twitter for Android,0,False,1,False,2021-04-01T18:44:09+00:00,86,109,https://t.co/w0xL5Gso0y,https://twitter.com/EnComunas/status/1377693283523162124/photo/1,pic.twitter.com/w0xL5Gso0y,,,,,,,,,,,,,,,"3,13776932805242E+019",,,,,,,,,,,,,,,,,,,,,,,
,,Todos unidos en oracion por todos aquellos enfermo por covid-19 o por otra enfermedad https://t.co/Am3pQ3hBhc,,123,Ongoing News Story,Ongoing News Stories like 'Brexit',"1,22070188817936E+018",COVID-19,everyone,False,,,,012b6b2c110f0c21,"1,37769253736487E+018","1,37291073578589E+018","1,37769253736487E+018",es,Twitter for Android,0,False,1,False,2021-04-01T18:41:11+00:00,86,109,https://t.co/Am3pQ3hBhc,https://twitter.com/EnComunas/status/1377692537364869120/photo/1,pic.twitter.com/Am3pQ3hBhc,,,,,,,,,,,,,,,"3,13776925334306E+019",,,,,,,,,,,,,,,,,,,,,,,
